經號 , 冊數 , 卷數 , 經名 , 作譯者
=======================================================
A1057 , 091 , 2 , 新譯大方廣佛華嚴經音義 , 唐 慧菀述
A1267 , 097-098 , 17 , 大唐開元釋教廣品歷章 , 唐 玄逸撰
A1490 , 110 , 2 , 天聖釋教總錄 , 宋 惟淨等編修
A1493 , 111-112 , 16 , 大中祥符法寶錄 , 宋 楊億等編修
A1494 , 112 , 14 , 景祐新修法寶錄 , 宋 呂夷簡等編修
A1504 , 114 , 3 , 佛說大乘僧伽吒法義經 , 宋 金總持等譯
A1505 , 114 , 2 , 佛說清淨毘奈耶最上大乘經 , 宋 智吉祥等譯
A1548 , 119 , 1 , 因明論理門十四過類疏 , 唐 窺基撰
A1561 , 120-121 , 23 , 瑜伽師地論義演 , 唐 清素．澄淨述
Ba001 , 00 , 1 , 出版說明 , 藍吉富
Ba002 , 00 , 1 , 全書內容簡介 , 藍吉富
B0001 , 01-02 , 20 , 均如大師華嚴學全書 , 均如著　金知見編
Ba003 , 03 , 1 , 編輯說明 , 藍吉富
B0002 , 03-05 , 120 , 華嚴經疏論纂要 , 道霈編
Ba004 , 06 , 1 , 編輯說明 , 藍吉富
B0003 , 06 , 2 , 南傳長部經典 , 江鍊百譯
B0004 , 06 , 1 , 南傳中部經典 , 芝峯譯
B0005 , 06 , 2 , 南傳小部經典 , 夏丏尊譯
B0006 , 06 , 1 , 泰國大藏經小部經 , 黃謹良譯
B0007 , 06 , 1 , 發趣論 , 范寄東譯
B0008 , 06 , 1 , 大發趣論註 , 覺音造　范寄東譯
B0009 , 06 , 30 , 冠導阿毗達磨俱舍論 , 佐伯旭雅編
Ba005 , 07 , 1 , 編輯說明 , 藍吉富
B0010 , 07 , 1 , 南傳轉法輪經 , 丘哌博譯
B0011 , 07 , 1 , 轉法輪經 , 岫廬譯
B0012 , 07 , 1 , 三寶經 , 法舫譯
B0013 , 07 , 1 , 吉祥經 , 法舫譯
B0014 , 07 , 1 , 婆羅門正法經 , 法舫譯
B0015 , 07 , 1 , 南傳羯臘摩經 , 丘寶光．徐鄂雲同譯
B0016 , 07 , 1 , 南傳大悲經 , 法舫譯
B0017 , 07 , 1 , 南傳法句經 , 了參譯
B0018 , 07 , 1 , 南傳大般湼槃經 , 巴宙譯
B0019 , 07 , 1 , 南傳念安般經 , 湯用彤譯
B0020 , 07 , 1 , 隨念三寶經淺說 , 法尊口述　雲根記
B0021 , 07 , 1 , 毒語心經 , 白隱慧鶴註釋　南天棒鄧州提唱
B0022 , 07 , 1 , 新譯薄伽梵母智慧到彼岸心經詮釋 , 貢噶呼圖克圖譯
B0023 , 07 , 5 , 金剛般若波羅蜜經講義 , 江味農著
B0024 , 07 , 1 , 佛說阿彌陀經註釋會要 , 鳩摩羅什譯　徐珂輯
B0025 , 07 , 1 , 阿毗達摩攝義論 , 阿耨樓陀造　法舫譯
Ba006 , 08 , 1 , 編輯說明 , 藍吉富
B0026 , 08 , 2 , 四分比丘尼戒本註解 , 佛瑩編
B0027 , 08 , 2 , 瑜伽師地論戒品纂釋 , 宗喀巴釋論　湯薌銘譯纂
B0028 , 08 , 1 , 菩提正道菩薩戒論 , 宗喀巴造　湯薌銘譯
B0029 , 08 , 5 , 菩薩戒品釋 , 宗喀巴造　法尊譯
Ba007 , 09 , 1 , 編輯說明 , 藍吉富
B0030 , 09 , 1 , 現觀莊嚴論中八品七十義略解 , 法尊述
B0031 , 09 , 4 , 現觀莊嚴論略釋 , 彌勒造頌　法尊譯釋
B0032 , 09 , 1 , 七十空性論科攝 , 龍樹造　法尊譯　弘悲科攝
B0033 , 09 , 1 , 大乘修心七義論釋 , 無著賢造　慧海等譯
B0034 , 09 , 1 , 辨法法性論 , 彌勒造　法尊譯
B0035 , 09 , 1 , 西藏傳本攝大乘論 , 無著造　呂澂譯
B0036 , 09 , 1 , 三自性論 , 世親造　劉孝蘭譯
B0037 , 09 , 1 , 集量論釋略抄 , 呂澂輯
B0038 , 09 , 1 , 安慧三十唯識釋略抄 , 呂澂輯
B0039 , 09 , 1 , 觀所緣釋論會譯 , 呂澂．印滄編
B0040 , 09 , 6 , 集量論略解 , 陳那著　法尊譯編
B0041 , 09 , 1 , 正理滴論（譯自梵文本） , 法稱著　王森譯
B0042 , 09 , 1 , 正理滴論（譯自西藏文本） , 法稱著　楊化群譯
B0043 , 09 , 9 , 釋量論略解 , 法稱著　僧成釋　法尊譯
B0044 , 09 , 14 , 入中論善顯密意疏 , 宗喀巴造　法尊譯
B0045 , 09 , 1 , 入中論講記 , 月稱造頌　法尊譯講
B0046 , 09 , 1 , 中論略義 , 宗喀巴著　潭影譯
B0047 , 09 , 1 , 中論文句釋 , 僧成釋　常浩譯
Ba008 , 10 , 1 , 編輯說明 , 藍吉富
B0048 , 10 , 5 , 辨了不了義善說藏論 , 宗喀巴造　法尊譯
B0049 , 10 , 1 , 菩提道炬論 , 阿底霞造　超一譯
B0050 , 10 , 1 , 地道建立 , 三寶無畏王造　法尊譯
B0051 , 10 , 1 , 菩提道次恒修教授 , 札迦說　法尊譯
B0052 , 10 , 1 , 緣起讚 , 宗喀巴著　法尊譯
B0053 , 10 , 1 , 集諸學頌 , 寂靜造　超一譯
B0054 , 10 , 1 , 菩提道次第論攝頌 , 宗喀巴造　超一譯
B0055 , 10 , 1 , 菩提道次第論極略頌 , 宗喀巴著　超一譯
B0056 , 10 , 1 , 西藏法寶貫珠 , 達瓦桑杜譯英　伊文思溫慈編註　趙洪鑄譯漢
B0057 , 10 , 5 , 密宗道次第論 , 克主著　法尊譯
B0058 , 10 , 1 , 涅般道大手印瑜伽法要釋 , 白蓮花造　光明心譯
B0059 , 10 , 1 , 明行道六成就法 , 珀瑪迦爾著　張妙定蓮菩提金剛正譯
B0060 , 10 , 1 , 頗哇心要轉識自在法 , 達瓦桑杜譯英　伊文思溫慈纂集　張妙定蓮菩提金剛正譯漢
B0061 , 10 , 1 , 椎擊三要訣勝法解 , 大善解功德主著　貢噶傳　滿空譯
B0062 , 10 , 1 , 貢噶上師恒河大手印直講 , 貢噶講
B0063 , 10 , 1 , 大密妙義深道六法引導廣論纂要 , 吉祥造　鍾伯毅纂
B0064 , 10 , 1 , 大圓滿 , 郭元興著　慈威校註
B0065 , 10 , 6 , 菩提道次第略論 , 宗喀巴著　邢肅芝譯
B0066 , 10 , 6 , 菩提道次第直講 , 宗喀巴著　大勇口譯　智湛筆錄
B0067 , 10 , 24 , 菩提道次第廣論 , 宗喀巴著　法尊譯
B0068 , 10 , 22 , 密宗道次第廣論 , 宗喀巴著　法尊譯
Ba009 , 11 , 1 , 編輯說明 , 藍吉富
B0069 , 11 , 7 , 七系付法傳 , 多羅那他著　郭元興譯
B0070 , 11 , 1 , 安樂妙寶 , 金慧暢編
B0071 , 11 , 15 , 蓮華生大士應化史略 , 諾那呼圖克圖逞列匠磋譯
B0072 , 11 , 5 , 阿底峽尊者傳 , 法尊譯述
B0073 , 11 , 29 , 木納記 , 惹穹多傑札把著　多傑譯述　張心若筆錄
B0074 , 11 , 5 , 宗喀巴大師傳 , 法尊譯述
B0075 , 11 , 26 , 西藏王臣護法記 , 第五世達賴喇嘛著　郭和卿譯
B0076 , 11 , 44 , 印度佛教史 , 達喇那他著　王沂暖譯
Ba010 , 12 , 1 , 洛陽伽藍記解題 , 藍吉富
B0077 , 12 , 5 , 洛陽伽藍記校釋 , 楊衒之著　周祖謨校釋
B0078 , 12 , 5 , 洛陽伽藍記校注 , 楊衒之著　范祥雍校注
Ba011 , 13 , 1 , 釋氏六帖解題 , 藍吉富
Ba012 , 13 , 1 , 大唐西域記解題 , 藍吉富
B0079 , 13 , 24 , 釋氏六帖 , 義楚集
B0080 , 13 , 12 , 大唐西域記（校點本） , 玄奘口述　辯機編纂
Ba013 , 14 , 1 , 編輯說明 , 藍吉富
B0081 , 14 , 7 , 雙峰山曹侯溪寶林傳（殘卷） , 智炬著
B0082 , 14 , 9 , 傳燈玉英集（殘卷） , 王隨編
B0084 , 14 , 1 , 藏逸經書標目 , 密藏編
B0085 , 14 , 2 , 憨山大師年譜疏註 , 福善記錄　福徵述疏
B0086 , 14 , 1 , 南朝寺考 , 劉世珩著
B0087 , 14 , 1 , 合訂天台三聖二和詩集 , 寒山．豐干．拾得原詩　梵琦．濟岳和
Ba014 , 15 , 1 , 編輯說明（上） , 藍吉富
Ba015 , 16 , 1 , 編輯說明（下） , 藍吉富
B0088 , 15-16 , 158 , 古今圖書集成選輯 , 
Ba016 , 17 , 1 , 編輯說明 , 藍吉富
B0089 , 17 , 48 , 太平廣記選輯（卷八十七～一三四） , 李昉等編纂
B0090 , 17 , 6 , 酉陽雜俎選輯（前集、續集等六篇） , 段成式著
B0091 , 17 , 10 , 正史選輯（晉書、宋書、梁書、魏書、隋書、舊唐書、元史、明史） , 
B0092 , 17 , 8 , 唐會要、五代會要、明書、明會典選輯 , 
B0093 , 17 , 6 , 象教皮編（六卷全） , 陳士元編
B0094 , 17 , 4 , 冊府元龜選輯 , 王欽若、楊億等著
Ba017 , 18 , 1 , 編輯說明 , 藍吉富
B0095 , 18 , 4 , 入唐求法巡禮行記 , 圓仁著
B0096 , 18 , 6 , 佛教繪畫史料 , 
B0097 , 18 , 2 , 歸元鏡 , 智達著
B0098 , 18 , 3 , 高旻寺規約 , 來果著
B0099 , 18 , 1 , 相宗絡索 , 王夫之著
B0101 , 18 , 1 , 絕觀論 , 菩提達磨（？）著
Ba018 , 19 , 1 , 編輯說明 , 藍吉富
Ba019 , 19 , 1 , 禪林象器箋序 , 藍吉富
B0103 , 19 , 30 , 禪林象器箋 , 無著道忠著
Ba020 , 20 , 1 , 編輯說明 , 藍吉富
Ba021 , 21 , 1 , 編輯說明 , 藍吉富
B0116 , 21 , 1 , 金剛般若波羅蜜經集註 , 明成祖朱棣集註
Ba022 , 22 , 1 , 編輯說明 , 藍吉富
B0117 , 22 , 38 , 三藏法數 , 一如等編　丁福保重校
B0118 , 22 , 8 , 律宗燈譜 , 源諒著　劉霞彩編
B0119 , 22 , 1 , 天然和尚年譜 , 汪宗衍著
Ba023 , 23 , 1 , 編輯說明 , 藍吉富
B0130 , 23 , 1 , 靈峰宗論（選錄〈蕅益大師年譜〉、〈書重刻靈峰宗論後〉、〈刻闢邪集序〉） , 智旭著
Ba024 , 24 , 1 , 編輯說明 , 藍吉富
B0131 , 24 , 5 , 法海觀瀾 , 智旭輯
B0132 , 24 , 2 , 尚直編 , 空谷景隆著
B0133 , 24 , 1 , 尚理編 , 空谷景隆著
B0134 , 24 , 2 , 闢邪集（選錄） , 鍾始聲著
B0135 , 24 , 15 , 蒲室集 , 笑隱大訢著
B0136 , 24 , 6 , 選佛譜 , 智旭著
B0137 , 24 , 14 , 正名錄 , 智楷著
B0139 , 24 , 1 , 獻花巖志 , 陳沂著
B0140 , 24 , 10 , 雪峰志 , 徐𤊹纂輯
B0141 , 24 , 11 , 嵩山少林寺輯志 , 輯自傅梅撰《嵩書》
Ba025 , 25 , 1 , 編輯說明 , 藍吉富
B0142 , 25 , 1 , 新校定的敦煌寫本神會和尚遺著兩種 , 胡適校定
B0143 , 25 , 1 , 神會和尚語錄的第三個敦煌寫本：南陽和尚問答雜徵義（劉澄集） , 胡適校定
B0144 , 25 , 20 , 祖堂集 , 靜、筠二禪德編著
B0145 , 25 , 30 , 天目中峰廣錄 , 中峰明本著
Ba026 , 26 , 1 , 編輯說明 , 藍吉富
B0146 , 26 , 5 , 房山雲居寺石經──經文、題記、碑銘等拓片之選輯 , 
B0147 , 26 , 17 , 三階教殘卷 , 矢吹慶輝輯
B0148 , 26 , 9 , 東坡禪喜集 , 徐長孺輯
B0149 , 26 , 5 , 鳴道集說 , 李屏山著
B0150 , 26 , 1 , 道餘錄（選錄「姚少師道餘錄跋」） , 姚廣孝著
Ba027 , 27 , 1 , 編輯說明 , 藍吉富
B0151 , 27 , 65 , 新續高僧傳 , 喻謙著
B0152 , 27 , 14 , 普濟玉琳國師語錄 , 音緯等編
B0153 , 27 , 10 , 法藏碎金錄 , 晁逈著
Ba028 , 28 , 1 , 編輯說明 , 藍吉富
B0155 , 28 , 8 , 聖朝破邪集 , 徐昌治編
B0156 , 28 , 3 , 佛法金湯 , 屠隆著
B0157 , 28 , 24 , 楊仁山居士遺書 , 楊文會著
B0158 , 28 , 1 , 陰騭文圖 , 費丹旭繪圖　許光清集證
B0159 , 28 , 1 , 了凡四訓 , 袁了凡著
Ba029 , 29 , 1 , 編輯說明 , 藍吉富
B0160 , 29 , 53 , 金陵梵剎志 , 葛寅亮著
B0161 , 29 , 12 , 武林梵志 , 吳之鯨著
Ba030 , 30 , 1 , 編輯說明 , 藍吉富
B0163 , 30 , 8 , 重修曹溪通志 , 馬元、釋真樸重修
Ba031 , 31 , 1 , 編輯說明 , 藍吉富
B0169 , 31 , 2 , 朝鮮寺剎史料 , 
B0170 , 31 , 3 , 朝鮮佛教通史 , 李能和著
Ba032 , 32 , 1 , 編輯說明 , 藍吉富
B0171 , 32 , 2 , 八宗綱要鈔 , 凝然述
B0172 , 32 , 2 , 出定後語 , 富永仲基著
B0173 , 32 , 30 , 元亨釋書 , 師鍊著
B0174 , 32 , 8 , 參天台五台山記 , 成尋著
B0175 , 32 , 2 , 喫茶養生記 , 榮西著
B0176 , 32 , 3 , 四宗要文 , 日朝著　英園纂補
B0177 , 32 , 5 , 本朝諸宗要集 , 義觀述
B0178 , 32 , 1 , 東大寺六宗未決義 , 
B0179 , 32 , 1 , 八海含藏 , 師鍊著
B0180 , 32 , 1 , 華嚴通關 , 定仙著
B0181 , 32 , 1 , 諸宗教理同異釋 , 賴瑜釋
B0182 , 32 , 1 , 內典塵露章 , 凝然述
B0183 , 32 , 2 , 禪祖念佛集 , 慧中集
B0184 , 32 , 2 , 顯揚正法復古集 , 普寂著
B0185 , 32 , 3 , 初學題額集 , 良山集
B0186 , 32 , 3 , 三國佛法傳通緣起 , 凝然述
B0187 , 32 , 1 , 二障義 , 元曉著
B0189 , 32 , 1 , 大華嚴一乘法界圖註并序 , 雪岑著
B0190 , 32 , 1 , 華嚴經釋題 , 雪岑著
B0191 , 32 , 1 , 義相法師法性偈 , 有聞科註　聖奎證正
Ba033 , 33 , 1 , 編輯說明 , 藍吉富
B0192 , 33 , 45 , 釋文紀 , 梅鼎祚輯
Ba034 , 34 , 1 , 編輯說明 , 藍吉富
Ba035 , 34 , 1 , 吳都法乘簡介 , 藍吉富
B0193 , 34 , 30 , 吳都法乘 , 周永年編
Ba036 , 35 , 1 , 編輯說明 , 藍吉富
B0194 , 35 , 8 , 中華大藏經總目錄 , 蔡念生編
B0195 , 35 , 1 , 頓悟大乘政理決 , 王錫著 
B0196 , 35 , 1 , 大乘中宗見解 , 
Ba037 , 36 , 1 , 編輯說明 , 藍吉富
B0197 , 36 , 1 , 摩訶婆羅多的故事 , 拉賈戈帕拉查理改寫　唐季雍譯　金克木校
B0198 , 36 , 18 , 博伽梵歌 , 雅蘇瑪蒂書達．踏薩譯
C1163 , 056-057 , 25 , 一切經音義 , 唐 玄應撰
C1169 , 059 , 3 , 紹興重雕大藏音 , 宋 處觀著
C1665 , 071 , 10 , 菩薩名經 , 宋 羅濬集
C1666 , 071 , 1 , 梵本大悲神咒 , 
C1679 , 073 , 2 , 御製佛賦 , 宋 趙炅撰
C1680 , 073 , 1 , 御製詮源歌 , 宋 趙炅撰
C1710 , 077 , 48 , 古尊宿語錄 , 宋 頤藏主集　明 淨戒重校
C1720 , 078 , 21 , 禪宗頌古聯珠通集 , 宋 法應集　元 普會續集　明 淨戒重校
C1821 , 097 , 4 , 楞伽經纂 , 劉宋 求那跋陀羅譯經　宋 楊彥國詮註
C1937 , 106 , 3 , 大明重刊三藏聖教目錄 , 明 雙徑山僧眾編
D8679 , 01 , 1 , 佛說佛名經（存卷四） , 
D8680 , 02 , 1 , 佛說佛名經（存卷七） , 
D8701 , 03 , 1 , 盂蘭盆經講經文（前殘） , 
D8724 , 04 , 1 , 報恩金剛經文十二段 , 唐 楊仙鸖撰
D8774 , 05 , 1 , 羯磨文（前殘） , 
D8775 , 06 , 1 , 式叉摩那尼六法 , 
D8779 , 07 , 1 , 鳩摩羅什法師誦法（後殘） , 東晉 釋慧融等集
D8780 , 08 , 1 , 小鈔 , 
D8790 , 09 , 1 , 佛性觀（前殘） , 
D8814 , 10 , 1 , 佛頂尊勝陀羅尼等靈異神咒二十道 , 
D8817 , 11 , 1 , 佛說觀世音三昧經 , 
D8820 , 12 , 1 , 新菩薩經 , 
D8838 , 13 , 1 , 金剛般若波羅蜜經（註解） , 元 釋思聰註解
D8842 , 14 , 1 , 般若心經註解 , 日本 釋圓耳撰
D8853 , 15 , 8 , 梵網古跡抄 , 
D8859 , 16 , 10 , 楞嚴妙指 , 明 釋弘演撰
D8862 , 17 , 10 , 楞嚴經四依解 , 明 釋觀衡述
D8863 , 18 , 16 , 大日經疏指心鈔 , 唐 釋一行撰
D8864 , 19 , 3 , 大日經劫心義章 , 日本 釋運敞撰
D8869 , 20 , 1 , 惟教三昧（存卷下　前殘） , 
D8871 , 21 , 1 , □者眷屬 , 
D8874 , 22 , 1 , 成實論義記（存卷中　前殘） , 唐 釋其甲撰
D8879 , 23 , 10 , 成唯識論訂正 , 明 釋廣伸撰
D8880 , 24 , 1 , 成唯識論述記序釋 , 日本 釋善珠撰
D8881 , 25 , 2 , 菩提心論問題 , 日本 釋善珠撰
D8882 , 26 , 1 , 菩提心論口筆 , 日本 釋實順撰
D8883 , 27 , 6 , 百法問答聞書抄 , 
D8885 , 28 , 6 , 因明入正理論後記 , 清 吳樹虛撰
D8888 , 29 , 6 , 表無表章詮要鈔 , 唐 釋窺基撰
D8889 , 30 , 2 , 教相樞要鈔 , 日本 釋高範撰
D8890 , 31 , 2 , 唐三藏法師唯識量質疑錄 , 清 吳樹虛撰
D8891 , 32 , 3 , 表無表章詳體文集 , 日本 釋叡尊撰
D8892 , 33 , 3 , 略述法相義依釋 , 日本 釋高範撰
D8893 , 34 , 2 , 法宗原私記 , 日本 釋龍謙撰
D8894 , 35 , 5 , 頌義八拔萃 , 
D8895 , 36 , 3 , 略述法相義 , 日本 釋良光撰
D8896 , 37 , 6 , 唯識義 , 日本 釋真興撰
D8898 , 38 , 1 , 脩大方廣佛華嚴法界觀 , 唐 釋杜順編
D8899 , 39 , 1 , 圭峰禪師原人論發微錄 , 宋 釋淨源撰
D8903 , 40 , 7 , 天台名目類聚鈔 , 日本 釋貞舜撰
D8904 , 41 , 7 , 西谷名目句解 , 
D8905 , 42 , 5 , 選擇傳弘決疑鈔 , 日本 釋良忠撰
D8913 , 43 , 1 , 識知淨土論 , 日本 弁阿撰
D8914 , 44 , 14 , 釋淨土群疑論探要記 , 
D8915 , 45 , 1 , 禪門偈（前殘） , 
D8930 , 46 , 2 , 特賜興禪大燈國師參詳語要 , 日本 釋妙超撰
D8936 , 47 , 5 , 正信念佛偈私見聞 , 日本 釋空誓撰
D8939 , 48 , 33 , 古尊宿語錄 , 
D8942 , 49 , 4 , 四家錄 , 元 釋海島編
D8945 , 50 , 1 , 雪峰空和尚外集 , 宋 釋慧空撰　釋惠然編
D8948 , 51 , 2 , 佛國禪師語錄 , 元 釋無學撰　釋妙環等編
D8951 , 52 , 14 , 如來香 , 清 唐時編
D8952 , 53 , 1 , 為二太子中元盂蘭薦福文 , 
D8953 , 54 , 1 , 結壇散食迴向發願文（首尾殘缺） , 
D8954 , 55 , 10 , 儀註備簡 , 明 釋大惠撰
D8980 , 56 , 3 , 冥樞會要 , 宋 釋祖心編
D9000 , 57 , 3 , 空谷集 , 明 釋景隆撰
D9010 , 58 , 1 , 閱藏隨錄 , 明 王芥庵撰
D9011 , 59 , 1 , 藏經值畫一目錄 , 
D9021 , 60 , 1 , 知儒編 , 明 周夢秀撰
D9025 , 61 , 4 , 淨土三部經音義集 , 日本 釋信瑞撰
D9026 , 62 , 1 , 大悲觀世音菩薩至道禮文 , 
D9027 , 63 , 1 , 道安法師念佛讚文附入山讚文 , 
D9031 , 64 , 1 , 僧家禮儀文 , 朝鮮 釋冲絢撰
F0016 , 01 , 1 , 大王觀世音經 , 
F0041 , 02 , 1 , 比丘尼羯磨經 , 劉宋 求那跋摩譯
F0069 , 02 , 1 , 因果本起經 , 宋 求那跋陀羅譯
F0088 , 03 , 1 , 佛說灌頂章句拔除過罪生死得度經 , 東晉 帛尸梨密多羅譯
F0089 , 03 , 1 , 佛說恒水流樹經 , 劉宋 天竺三藏求那跋陀羅譯
F0100 , 03 , 1 , 金剛般若波羅蜜經（御注並序） , 唐 玄宗李隆基注
F0181 , 03 , 1 , 大般若關 , 
F0248 , 03 , 1 , 佛說救護身命經 , 比丘道真譯
F0546 , 12 , 1 , 大方廣圓覺修多羅了義經（選錄「附文：金剛禮一本」） , 遼 通理大師集
F0761 , 24 , 1 , 觀自在菩薩廣大圓滿無礙大悲根本陀羅尼 , 唐 南天竺國三藏金剛智譯
F1048 , 27 , 1 , 一切如來白傘蓋大佛頂陀羅尼 , 唐 不空譯
F1050 , 27 , 1 , 聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼 , 唐 不空譯
F1056 , 27 , 1 , 梵本般若波羅蜜多心經 , 唐 不空譯
F1060 , 27 , 1 , 梵本般若波羅蜜多心經 , 宋 慈賢譯
F1061 , 27 , 1 , 大隨求陀羅尼 , 宋 慈賢譯
F1062 , 27 , 1 , 佛頂尊勝陀羅尼 , 宋 慈賢譯
F1063 , 27 , 1 , 一切如來白傘蓋大佛頂陀羅尼 , 宋 慈賢譯
F1064 , 27 , 1 , 大悲心陀羅尼 , 宋 慈賢譯
F1071 , 28 , 30 , 釋教最上乘秘密藏陀羅尼集 , 行琳集
F1072 , 28 , 22 , 一切佛菩薩名集 , 德雲集
F1076 , 28 , 1 , 發菩提心戒 , 石經寺主講經律沙門志仙記
F1081 , 28 , 1 , 一乘法界圖合詩一印 , 儼法師造
F1082 , 28 , 1 , 釋華嚴漩澓偈 , 南岳般舟道場比丘惟勁釋
F1083 , 28 , 1 , 漩澓偈 , 杜順法師造
F1084 , 28 , 1 , 健拏標訶一乘修行者秘密義記 , 大香山隱士釋法藏述
F1098 , 29 , 1 , 高上玉皇本行集經髓 ,
F1099 , 29 , 1 , 無上玉皇心印經 ,
G1222 , 052 , 1 , 一字頂輪王瑜伽經 , 唐 不空譯
G1977 , 069 , 1 , 科始終心要 , 唐 湛然述
G2073 , 083 , 1 , 大明太宗文皇帝御製文殊讚 , 明 太宗御製
G2075 , 083 , 1 , 御製釋迦牟尼佛讚 , 明 太宗御製
G2084 , 084 , 1 , 坐禪箴 , 日本 道元撰
G2086 , 084 , 1 , 三根坐禪說 , 日本 瑩山撰
GAa001 , 000 , 1 , 編輯說明 , 中華電子佛典協會
GA0002 , 001 , 6 , 洛陽伽藍記集證 , 清 吳若準集證
GA0003 , 001 , 5 , 洛陽伽藍記鉤沈 , 民國 唐晏鉤沈
GA0004 , 001 , 8 , 洛陽伽藍記合校本 , 民國 張宗祥合校
GA0005 , 002 , 2 , 南朝佛寺志 , 清 孫文川撰　陳作霖編
GA0008 , 009 , 6 , 重修普陀山志 , 明 周應賓撰
GA0009 , 010 , 12 , 普陀洛迦新志 , 民國 王亨彥撰
GA0010 , 011-012 , 10 , 明州阿育王山志 , 明 郭子章撰
GA0011 , 012 , 6 , 明州阿育王山續志 , 清 釋畹荃撰
GA0012 , 013-014 , 10 , 天童寺志 , 清 聞性道．釋德介撰
GA0013 , 015 , 8 , 七塔寺志 , 民國 陳寥士撰
GA0014 , 015 , 6 , 明州岳林寺志 , 清 戴明琮撰
GA0015 , 016 , 10 , 大昭慶律寺志 , 清 吳樹虛撰
GA0017 , 020 , 12 , 玉岑山慧因高麗華嚴教寺志 , 明 李翥撰　清 丁丙補
GA0018 , 020 , 1 , 鳳凰山聖果寺志 , 清 釋超乾撰
GA0019 , 021 , 8 , 武林理安寺志 , 清 杭世駿撰
GA0020 , 022 , 12 , 龍井見聞錄 , 清 汪孟鋗撰
GA0021 , 023 , 8 , 武林靈隱寺志 , 清 孫治撰　徐增重編
GA0022 , 024 , 8 , 增修雲林寺志 , 清 厲鶚．張熷撰
GA0023 , 025 , 8 , 雲林寺續志 , 清 沈鑅彪撰
GA0024 , 026 , 15 , 杭州上天竺講寺志 , 明 釋廣賓撰
GA0025 , 027 , 7 , 雲居聖水寺志 , 清 釋𧧌湛．釋明倫原輯　釋通淵．釋實懿重纂
GA0028 , 029 , 12 , 龍興祥符戒壇寺志 , 清 張大昌撰
GA0029 , 030 , 4 , 西谿梵隱志 , 清 吳本泰撰　釋智一編
GA0030 , 030 , 4 , 崇福寺志 , 清 朱文藻撰
GA0031 , 030 , 2 , 續崇福寺志 , 清 章庭棫撰
GA0032 , 031-032 , 14 , 徑山志 , 明 宋奎光撰
GA0036 , 035 , 5 , 破山興福寺志 , 明 程嘉燧撰　蘇先繪圖
GA0043 , 043 , 3 , 寒山寺志 , 清 葉昌熾纂
GA0049 , 045 , 8 , 峨眉山志 , 清 蔣超撰　民國 釋印光重修
GA0062 , 058 , 1 , 泉州開元寺志 , 明 釋元賢撰
GA0077 , 072 , 8 , 九華山志 , 民國 釋印光重修
GA0081 , 079 , 8 , 清涼山志 , 民國 釋印光重修
GA0084 , 081-082 , 10 , 雞足山寺志 , 明 錢邦纂　清 茫承勳增修
GA0086 , 084 , 8 , 黃檗山寺志 , 
GA0089 , 088-090 , 30 , 天台山方外志 , 
GBa001 , 000 , 1 , 編輯說明 , 中華電子佛典協會
GB0109 , 078 , 3 , 徑山集 , 明 釋宗淨集
Ia001 , 00 , 1 , 說明 , 中華電子佛典協會
I0001 , 01 , 1 , 宕昌公暉福寺碑 , 顏娟英主編
I0002 , 01 , 1 , 姚伯多等造像記 , 顏娟英主編
I0003 , 01 , 1 , 元景造石窟記 , 顏娟英主編
I0004 , 01 , 1 , 韓貞等造石窟記 , 顏娟英主編
I0005 , 01 , 1 , 劉未等造像記 , 顏娟英主編
I0006 , 01 , 1 , 高伏德等三百人造像記 , 顏娟英主編
I0007 , 01 , 1 , 比丘法雅等千人造九級浮圖碑 , 顏娟英主編
I0008 , 01 , 1 , 張道智造像記 , 顏娟英主編
I0009 , 01 , 1 , 高洛周七十人等造像記 , 顏娟英主編
I0010 , 01 , 1 , 僧暈等造像記 , 顏娟英主編
I0011 , 01 , 1 , 馮神育等二百廿人造像碑 , 顏娟英主編
I0012 , 01 , 1 , 嵩顯寺碑 , 顏娟英主編
I0013 , 01 , 1 , 南石窟寺碑 , 顏娟英主編
I0014 , 01 , 1 , 比丘郭曇勝造像記 , 顏娟英主編
I0015 , 01 , 1 , 張安世造像記 , 顏娟英主編
I0016 , 01 , 1 , 比丘劉僧真等造像記 , 顏娟英主編
I0017 , 01 , 1 , 夫蒙文慶造像記 , 顏娟英主編
I0018 , 01 , 1 , 張乾度七十人等造像記 , 顏娟英主編
I0019 , 01 , 1 , 錡雙胡廿人等造像記 , 顏娟英主編
I0020 , 01 , 1 , 袁永等五十人造像記 , 顏娟英主編
I0021 , 01 , 1 , 馬鳴寺根法師碑 , 顏娟英主編
I0022 , 01 , 1 , 比丘尼統慈慶墓誌銘 , 顏娟英主編
I0023 , 01 , 1 , 孫遼浮圖銘 , 顏娟英主編
I0024 , 01 , 1 , 仇臣生造像記 , 顏娟英主編
I0025 , 01 , 1 , 常煥等造浮圖記 , 顏娟英主編
I0026 , 01 , 1 , 蔣伯仙造像記 , 顏娟英主編
I0027 , 01 , 1 , 杜善勝合邑七十人造像記 , 顏娟英主編
I0028 , 01 , 1 , 大覺寺元尼墓誌銘并序 , 顏娟英主編
I0029 , 01 , 1 , 僧智薛鳳規等道俗造像記 , 顏娟英主編
